BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
B2014,CCGPMC010_B2014_S94_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2014_S94_L002_R1_001.fastq.gz,CCGPMC010_B2014_S94_L002_R2_001.fastq.gz,39.635759,-120.671659,59-Ursus,CCGPMC010_B2014_S94_L002,59-Ursus
B2015,CCGPMC010_B2015_S92_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2015_S92_L002_R1_001.fastq.gz,CCGPMC010_B2015_S92_L002_R2_001.fastq.gz,38.826665,-119.942764,59-Ursus,CCGPMC010_B2015_S92_L002,59-Ursus
B2015,CCGPMC010_B2015_S20,mUrsAme1.4.p_ctg,CCGPMC010_B2015_S20_R1_001.fastq.gz,CCGPMC010_B2015_S20_R2_001.fastq.gz,38.826665,-119.942764,59-Ursus,CCGPMC010_B2015_S20,59-Ursus
B1972,CCGPMC010_B1972_S93_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1972_S93_L002_R1_001.fastq.gz,CCGPMC010_B1972_S93_L002_R2_001.fastq.gz,41.550294,-123.755975,59-Ursus,CCGPMC010_B1972_S93_L002,59-Ursus
B1972,CCGPMC010_B1972_S21,mUrsAme1.4.p_ctg,CCGPMC010_B1972_S21_R1_001.fastq.gz,CCGPMC010_B1972_S21_R2_001.fastq.gz,41.550294,-123.755975,59-Ursus,CCGPMC010_B1972_S21,59-Ursus
B2002,CCGPMC010_B2002_S90_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2002_S90_L002_R1_001.fastq.gz,CCGPMC010_B2002_S90_L002_R2_001.fastq.gz,41.213243,-121.437584,59-Ursus,CCGPMC010_B2002_S90_L002,59-Ursus
B2002,CCGPMC010_B2002_S18,mUrsAme1.4.p_ctg,CCGPMC010_B2002_S18_R1_001.fastq.gz,CCGPMC010_B2002_S18_R2_001.fastq.gz,41.213243,-121.437584,59-Ursus,CCGPMC010_B2002_S18,59-Ursus
B1968,CCGPMC010_B1968_S19,mUrsAme1.4.p_ctg,CCGPMC010_B1968_S19_R1_001.fastq.gz,CCGPMC010_B1968_S19_R2_001.fastq.gz,38.378633,-120.438249,59-Ursus,CCGPMC010_B1968_S19,59-Ursus
B1968,CCGPMC010_B1968_S91_L002,mUrsAme1.4.p_ctg,CCGPMC010_B1968_S91_L002_R1_001.fastq.gz,CCGPMC010_B1968_S91_L002_R2_001.fastq.gz,38.378633,-120.438249,59-Ursus,CCGPMC010_B1968_S91_L002,59-Ursus
B2074,CCGPMC010_B2074_S88_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2074_S88_L002_R1_001.fastq.gz,CCGPMC010_B2074_S88_L002_R2_001.fastq.gz,34.265814,-118.190056,59-Ursus,CCGPMC010_B2074_S88_L002,59-Ursus
B2074,CCGPMC010_B2074_S16,mUrsAme1.4.p_ctg,CCGPMC010_B2074_S16_R1_001.fastq.gz,CCGPMC010_B2074_S16_R2_001.fastq.gz,34.265814,-118.190056,59-Ursus,CCGPMC010_B2074_S16,59-Ursus
B2050,CCGPMC010_B2050_S17,mUrsAme1.4.p_ctg,CCGPMC010_B2050_S17_R1_001.fastq.gz,CCGPMC010_B2050_S17_R2_001.fastq.gz,39.645368,-122.88495,59-Ursus,CCGPMC010_B2050_S17,59-Ursus
B2050,CCGPMC010_B2050_S89_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2050_S89_L002_R1_001.fastq.gz,CCGPMC010_B2050_S89_L002_R2_001.fastq.gz,39.645368,-122.88495,59-Ursus,CCGPMC010_B2050_S89_L002,59-Ursus
B2139,CCGPMC010_B2139_S87_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2139_S87_L002_R1_001.fastq.gz,CCGPMC010_B2139_S87_L002_R2_001.fastq.gz,41.560312,-124.059134,59-Ursus,CCGPMC010_B2139_S87_L002,59-Ursus
B2139,CCGPMC010_B2139_S15,mUrsAme1.4.p_ctg,CCGPMC010_B2139_S15_R1_001.fastq.gz,CCGPMC010_B2139_S15_R2_001.fastq.gz,41.560312,-124.059134,59-Ursus,CCGPMC010_B2139_S15,59-Ursus
B2112,CCGPMC010_B2112_S14,mUrsAme1.4.p_ctg,CCGPMC010_B2112_S14_R1_001.fastq.gz,CCGPMC010_B2112_S14_R2_001.fastq.gz,41.073209,-121.563683,59-Ursus,CCGPMC010_B2112_S14,59-Ursus
B2112,CCGPMC010_B2112_S86_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2112_S86_L002_R1_001.fastq.gz,CCGPMC010_B2112_S86_L002_R2_001.fastq.gz,41.073209,-121.563683,59-Ursus,CCGPMC010_B2112_S86_L002,59-Ursus
B2164,CCGPMC010_B2164_S85_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2164_S85_L002_R1_001.fastq.gz,CCGPMC010_B2164_S85_L002_R2_001.fastq.gz,39.489769,-121.040075,59-Ursus,CCGPMC010_B2164_S85_L002,59-Ursus
B2164,CCGPMC010_B2164_S13,mUrsAme1.4.p_ctg,CCGPMC010_B2164_S13_R1_001.fastq.gz,CCGPMC010_B2164_S13_R2_001.fastq.gz,39.489769,-121.040075,59-Ursus,CCGPMC010_B2164_S13,59-Ursus
B2252,CCGPMC010_B2252_S12,mUrsAme1.4.p_ctg,CCGPMC010_B2252_S12_R1_001.fastq.gz,CCGPMC010_B2252_S12_R2_001.fastq.gz,39.400133,-120.400949,59-Ursus,CCGPMC010_B2252_S12,59-Ursus
B2252,CCGPMC010_B2252_S84_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2252_S84_L002_R1_001.fastq.gz,CCGPMC010_B2252_S84_L002_R2_001.fastq.gz,39.400133,-120.400949,59-Ursus,CCGPMC010_B2252_S84_L002,59-Ursus
B2194,CCGPMC010_B2194_S83_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2194_S83_L002_R1_001.fastq.gz,CCGPMC010_B2194_S83_L002_R2_001.fastq.gz,39.100572,-121.190063,59-Ursus,CCGPMC010_B2194_S83_L002,59-Ursus
B2194,CCGPMC010_B2194_S11,mUrsAme1.4.p_ctg,CCGPMC010_B2194_S11_R1_001.fastq.gz,CCGPMC010_B2194_S11_R2_001.fastq.gz,39.100572,-121.190063,59-Ursus,CCGPMC010_B2194_S11,59-Ursus
B2221,CCGPMC010_B2221_S9,mUrsAme1.4.p_ctg,CCGPMC010_B2221_S9_R1_001.fastq.gz,CCGPMC010_B2221_S9_R2_001.fastq.gz,36.227104,-119.397144,59-Ursus,CCGPMC010_B2221_S9,59-Ursus
B2221,CCGPMC010_B2221_S81_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2221_S81_L002_R1_001.fastq.gz,CCGPMC010_B2221_S81_L002_R2_001.fastq.gz,36.227104,-119.397144,59-Ursus,CCGPMC010_B2221_S81_L002,59-Ursus
B2200,CCGPMC010_B2200_S10,mUrsAme1.4.p_ctg,CCGPMC010_B2200_S10_R1_001.fastq.gz,CCGPMC010_B2200_S10_R2_001.fastq.gz,34.148979,-116.769715,59-Ursus,CCGPMC010_B2200_S10,59-Ursus
B2200,CCGPMC010_B2200_S82_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2200_S82_L002_R1_001.fastq.gz,CCGPMC010_B2200_S82_L002_R2_001.fastq.gz,34.148979,-116.769715,59-Ursus,CCGPMC010_B2200_S82_L002,59-Ursus
B2207,CCGPMC010_B2207_S80_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2207_S80_L002_R1_001.fastq.gz,CCGPMC010_B2207_S80_L002_R2_001.fastq.gz,38.820001,-120.929698,59-Ursus,CCGPMC010_B2207_S80_L002,59-Ursus
B2272,CCGPMC010_B2272_S6,mUrsAme1.4.p_ctg,CCGPMC010_B2272_S6_R1_001.fastq.gz,CCGPMC010_B2272_S6_R2_001.fastq.gz,36.863936,-118.346716,59-Ursus,CCGPMC010_B2272_S6,59-Ursus
B2272,CCGPMC010_B2272_S78_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2272_S78_L002_R1_001.fastq.gz,CCGPMC010_B2272_S78_L002_R2_001.fastq.gz,36.863936,-118.346716,59-Ursus,CCGPMC010_B2272_S78_L002,59-Ursus
B2197,CCGPMC010_B2197_S5,mUrsAme1.4.p_ctg,CCGPMC010_B2197_S5_R1_001.fastq.gz,CCGPMC010_B2197_S5_R2_001.fastq.gz,40.081787,-121.551901,59-Ursus,CCGPMC010_B2197_S5,59-Ursus
B2197,CCGPMC010_B2197_S77_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2197_S77_L002_R1_001.fastq.gz,CCGPMC010_B2197_S77_L002_R2_001.fastq.gz,40.081787,-121.551901,59-Ursus,CCGPMC010_B2197_S77_L002,59-Ursus
B2222,CCGPMC010_B2222_S79_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2222_S79_L002_R1_001.fastq.gz,CCGPMC010_B2222_S79_L002_R2_001.fastq.gz,40.943668,-123.385982,59-Ursus,CCGPMC010_B2222_S79_L002,59-Ursus
B2273,CCGPMC010_B2273_S4,mUrsAme1.4.p_ctg,CCGPMC010_B2273_S4_R1_001.fastq.gz,CCGPMC010_B2273_S4_R2_001.fastq.gz,41.06291,-122.046088,59-Ursus,CCGPMC010_B2273_S4,59-Ursus
B2273,CCGPMC010_B2273_S76_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2273_S76_L002_R1_001.fastq.gz,CCGPMC010_B2273_S76_L002_R2_001.fastq.gz,41.06291,-122.046088,59-Ursus,CCGPMC010_B2273_S76_L002,59-Ursus
B2266,CCGPMC010_B2266_S3,mUrsAme1.4.p_ctg,CCGPMC010_B2266_S3_R1_001.fastq.gz,CCGPMC010_B2266_S3_R2_001.fastq.gz,38.673988,-119.619977,59-Ursus,CCGPMC010_B2266_S3,59-Ursus
B2266,CCGPMC010_B2266_S75_L002,mUrsAme1.4.p_ctg,CCGPMC010_B2266_S75_L002_R1_001.fastq.gz,CCGPMC010_B2266_S75_L002_R2_001.fastq.gz,38.673988,-119.619977,59-Ursus,CCGPMC010_B2266_S75_L002,59-Ursus
