BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Cst54_I-H04,MVZCCGP-Cst54_I-H04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst54_I-H04_R1.fastq.gz,MVZCCGP-Cst54_I-H04_R2.fastq.gz,37.86621,-122.57844,41-Cyanocitta,MVZCCGP-Cst54_I-H04,41-Cyanocitta
MVZCCGP-Cst55_II-H02,MVZCCGP-Cst55_II-H02,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst55_II-H02_R1.fastq.gz,MVZCCGP-Cst55_II-H02_R2.fastq.gz,39.35693,-123.77566,41-Cyanocitta,MVZCCGP-Cst55_II-H02,41-Cyanocitta
MVZCCGP-Cst56_II-A03,MVZCCGP-Cst56_II-A03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst56_II-A03_R1.fastq.gz,MVZCCGP-Cst56_II-A03_R2.fastq.gz,39.35693,-123.77566,41-Cyanocitta,MVZCCGP-Cst56_II-A03,41-Cyanocitta
MVZCCGP-Cst57_II-B03,MVZCCGP-Cst57_II-B03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst57_II-B03_R1.fastq.gz,MVZCCGP-Cst57_II-B03_R2.fastq.gz,39.35693,-123.77566,41-Cyanocitta,MVZCCGP-Cst57_II-B03,41-Cyanocitta
MVZCCGP-Cst59_I-A05,MVZCCGP-Cst59_I-A05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst59_I-A05_R1.fastq.gz,MVZCCGP-Cst59_I-A05_R2.fastq.gz,41.67997,-120.32444,41-Cyanocitta,MVZCCGP-Cst59_I-A05,41-Cyanocitta
MVZCCGP-Cst58_II-C03,MVZCCGP-Cst58_II-C03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst58_II-C03_R1.fastq.gz,MVZCCGP-Cst58_II-C03_R2.fastq.gz,41.67997,-120.32444,41-Cyanocitta,MVZCCGP-Cst58_II-C03,41-Cyanocitta
MVZCCGP-Cst60_I-B05,MVZCCGP-Cst60_I-B05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst60_I-B05_R1.fastq.gz,MVZCCGP-Cst60_I-B05_R2.fastq.gz,41.59975,-121.0976,41-Cyanocitta,MVZCCGP-Cst60_I-B05,41-Cyanocitta
MVZCCGP-Cst61_II-D03,MVZCCGP-Cst61_II-D03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst61_II-D03_R1.fastq.gz,MVZCCGP-Cst61_II-D03_R2.fastq.gz,41.58494,-121.09842,41-Cyanocitta,MVZCCGP-Cst61_II-D03,41-Cyanocitta
MVZCCGP-Cst62_I-C05,MVZCCGP-Cst62_I-C05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst62_I-C05_R1.fastq.gz,MVZCCGP-Cst62_I-C05_R2.fastq.gz,41.58494,-121.09842,41-Cyanocitta,MVZCCGP-Cst62_I-C05,41-Cyanocitta
MVZCCGP-Cst63_II-E03,MVZCCGP-Cst63_II-E03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst63_II-E03_R1.fastq.gz,MVZCCGP-Cst63_II-E03_R2.fastq.gz,41.71834,-120.3275,41-Cyanocitta,MVZCCGP-Cst63_II-E03,41-Cyanocitta
