BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP_Mme127m-II_D02,MVZCCGP_Mme127m-II_D02_S97,GCA_022749695.1,MVZCCGP_Mme127m-II_D02_S97_R1_001.fastq.gz,MVZCCGP_Mme127m-II_D02_S97_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme127m-II_D02_S97,41-Melospiza
MVZCCGP_Mme128m-II_E02,MVZCCGP_Mme128m-II_E02_S96,GCA_022749695.1,MVZCCGP_Mme128m-II_E02_S96_R1_001.fastq.gz,MVZCCGP_Mme128m-II_E02_S96_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme128m-II_E02_S96,41-Melospiza
MVZCCGP_Mme129m-II_F02,MVZCCGP_Mme129m-II_F02_S95,GCA_022749695.1,MVZCCGP_Mme129m-II_F02_S95_R1_001.fastq.gz,MVZCCGP_Mme129m-II_F02_S95_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme129m-II_F02_S95,41-Melospiza
MVZCCGP_Mme130m-II_G02,MVZCCGP_Mme130m-II_G02_S94,GCA_022749695.1,MVZCCGP_Mme130m-II_G02_S94_R1_001.fastq.gz,MVZCCGP_Mme130m-II_G02_S94_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme130m-II_G02_S94,41-Melospiza
MVZCCGP_Mme131-II_H02,MVZCCGP_Mme131-II_H02_S93,GCA_022749695.1,MVZCCGP_Mme131-II_H02_S93_R1_001.fastq.gz,MVZCCGP_Mme131-II_H02_S93_R2_001.fastq.gz,38.128226,-122.091882,41-Melospiza,MVZCCGP_Mme131-II_H02_S93,41-Melospiza
MVZCCGP_Mme132m-II_A03,MVZCCGP_Mme132m-II_A03_S92,GCA_022749695.1,MVZCCGP_Mme132m-II_A03_S92_R1_001.fastq.gz,MVZCCGP_Mme132m-II_A03_S92_R2_001.fastq.gz,38.208887,-122.02861,41-Melospiza,MVZCCGP_Mme132m-II_A03_S92,41-Melospiza
MVZCCGP_Mme133m-II_B03,MVZCCGP_Mme133m-II_B03_S91,GCA_022749695.1,MVZCCGP_Mme133m-II_B03_S91_R1_001.fastq.gz,MVZCCGP_Mme133m-II_B03_S91_R2_001.fastq.gz,38.149062,-122.394757,41-Melospiza,MVZCCGP_Mme133m-II_B03_S91,41-Melospiza
MVZCCGP_Mme134m-II_C03,MVZCCGP_Mme134m-II_C03_S90,GCA_022749695.1,MVZCCGP_Mme134m-II_C03_S90_R1_001.fastq.gz,MVZCCGP_Mme134m-II_C03_S90_R2_001.fastq.gz,38.208887,-122.02861,41-Melospiza,MVZCCGP_Mme134m-II_C03_S90,41-Melospiza
MVZCCGP_Mme135-II_D03,MVZCCGP_Mme135-II_D03_S89,GCA_022749695.1,MVZCCGP_Mme135-II_D03_S89_R1_001.fastq.gz,MVZCCGP_Mme135-II_D03_S89_R2_001.fastq.gz,38.33131,-122.5772,41-Melospiza,MVZCCGP_Mme135-II_D03_S89,41-Melospiza
MVZCCGP_Mme136-II_E03,MVZCCGP_Mme136-II_E03_S88,GCA_022749695.1,MVZCCGP_Mme136-II_E03_S88_R1_001.fastq.gz,MVZCCGP_Mme136-II_E03_S88_R2_001.fastq.gz,38.33131,-122.5772,41-Melospiza,MVZCCGP_Mme136-II_E03_S88,41-Melospiza
MVZCCGP_Mme137-II_F03,MVZCCGP_Mme137-II_F03_S87,GCA_022749695.1,MVZCCGP_Mme137-II_F03_S87_R1_001.fastq.gz,MVZCCGP_Mme137-II_F03_S87_R2_001.fastq.gz,38.33131,-122.5772,41-Melospiza,MVZCCGP_Mme137-II_F03_S87,41-Melospiza
MVZCCGP_Mme138m-II_G03,MVZCCGP_Mme138m-II_G03_S86,GCA_022749695.1,MVZCCGP_Mme138m-II_G03_S86_R1_001.fastq.gz,MVZCCGP_Mme138m-II_G03_S86_R2_001.fastq.gz,38.114112,-122.487845,41-Melospiza,MVZCCGP_Mme138m-II_G03_S86,41-Melospiza
MVZCCGP_Mme139m-II_H03,MVZCCGP_Mme139m-II_H03_S85,GCA_022749695.1,MVZCCGP_Mme139m-II_H03_S85_R1_001.fastq.gz,MVZCCGP_Mme139m-II_H03_S85_R2_001.fastq.gz,38.114112,-122.487845,41-Melospiza,MVZCCGP_Mme139m-II_H03_S85,41-Melospiza
MVZCCGP_Mme140m-II_A04,MVZCCGP_Mme140m-II_A04_S84,GCA_022749695.1,MVZCCGP_Mme140m-II_A04_S84_R1_001.fastq.gz,MVZCCGP_Mme140m-II_A04_S84_R2_001.fastq.gz,38.114112,-122.487845,41-Melospiza,MVZCCGP_Mme140m-II_A04_S84,41-Melospiza
