BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Psa131_II-C06,MVZCCGP-Psa131_II-C06_S83,GCA_022577445.1,MVZCCGP-Psa131_II-C06_S83_R1_001.fastq.gz,MVZCCGP-Psa131_II-C06_S83_R2_001.fastq.gz,31.51776,-115.77713,41-Passerculus,MVZCCGP-Psa131_II-C06_S83,41-Passerculus
MVZCCGP-Psa132_I-D11,MVZCCGP-Psa132_I-D11_S3,GCA_022577445.1,MVZCCGP-Psa132_I-D11_S3_R1_001.fastq.gz,MVZCCGP-Psa132_I-D11_S3_R2_001.fastq.gz,34.2736421,-119.26641,41-Passerculus,MVZCCGP-Psa132_I-D11_S3,41-Passerculus
MVZCCGP-Psa133_II-D06,MVZCCGP-Psa133_II-D06_S82,GCA_022577445.1,MVZCCGP-Psa133_II-D06_S82_R1_001.fastq.gz,MVZCCGP-Psa133_II-D06_S82_R2_001.fastq.gz,41.68797,-121.97701,41-Passerculus,MVZCCGP-Psa133_II-D06_S82,41-Passerculus
MVZCCGP-Psa134_II-E06,MVZCCGP-Psa134_II-E06_S81,GCA_022577445.1,MVZCCGP-Psa134_II-E06_S81_R1_001.fastq.gz,MVZCCGP-Psa134_II-E06_S81_R2_001.fastq.gz,35.88713,-118.34291,41-Passerculus,MVZCCGP-Psa134_II-E06_S81,41-Passerculus
MVZCCGP-Psa135_II-F06,MVZCCGP-Psa135_II-F06_S80,GCA_022577445.1,MVZCCGP-Psa135_II-F06_S80_R1_001.fastq.gz,MVZCCGP-Psa135_II-F06_S80_R2_001.fastq.gz,31.3440551,-113.44882,41-Passerculus,MVZCCGP-Psa135_II-F06_S80,41-Passerculus
MVZCCGP-Psa136_II-G06,MVZCCGP-Psa136_II-G06_S79,GCA_022577445.1,MVZCCGP-Psa136_II-G06_S79_R1_001.fastq.gz,MVZCCGP-Psa136_II-G06_S79_R2_001.fastq.gz,31.3440551,-113.44882,41-Passerculus,MVZCCGP-Psa136_II-G06_S79,41-Passerculus
MVZCCGP-Psa137_I-H11,MVZCCGP-Psa137_I-H11_S140,GCA_022577445.1,MVZCCGP-Psa137_I-H11_S140_R1_001.fastq.gz,MVZCCGP-Psa137_I-H11_S140_R2_001.fastq.gz,37.9745281,-122.37654,41-Passerculus,MVZCCGP-Psa137_I-H11_S140,41-Passerculus
MVZCCGP-Psa138_I-A12,MVZCCGP-Psa138_I-A12_S139,GCA_022577445.1,MVZCCGP-Psa138_I-A12_S139_R1_001.fastq.gz,MVZCCGP-Psa138_I-A12_S139_R2_001.fastq.gz,37.9745281,-122.37654,41-Passerculus,MVZCCGP-Psa138_I-A12_S139,41-Passerculus
MVZCCGP-Psa139_II-H06,MVZCCGP-Psa139_II-H06_S44,GCA_022577445.1,MVZCCGP-Psa139_II-H06_S44_R1_001.fastq.gz,MVZCCGP-Psa139_II-H06_S44_R2_001.fastq.gz,35.887222,-118.342778,41-Passerculus,MVZCCGP-Psa139_II-H06_S44,41-Passerculus
MVZCCGP-Psa140_II-A07,MVZCCGP-Psa140_II-A07_S43,GCA_022577445.1,MVZCCGP-Psa140_II-A07_S43_R1_001.fastq.gz,MVZCCGP-Psa140_II-A07_S43_R2_001.fastq.gz,35.887222,-118.342778,41-Passerculus,MVZCCGP-Psa140_II-A07_S43,41-Passerculus
MVZCCGP-Psa141_II-B07,MVZCCGP-Psa141_II-B07_S41,GCA_022577445.1,MVZCCGP-Psa141_II-B07_S41_R1_001.fastq.gz,MVZCCGP-Psa141_II-B07_S41_R2_001.fastq.gz,35.887222,-118.342778,41-Passerculus,MVZCCGP-Psa141_II-B07_S41,41-Passerculus
MVZCCGP-Psa142_II-C07,MVZCCGP-Psa142_II-C07_S40,GCA_022577445.1,MVZCCGP-Psa142_II-C07_S40_R1_001.fastq.gz,MVZCCGP-Psa142_II-C07_S40_R2_001.fastq.gz,35.887222,-118.342778,41-Passerculus,MVZCCGP-Psa142_II-C07_S40,41-Passerculus
MVZCCGP-Psa143_I-A11,MVZCCGP-Psa143_I-A11_S6,GCA_022577445.1,MVZCCGP-Psa143_I-A11_S6_R1_001.fastq.gz,MVZCCGP-Psa143_I-A11_S6_R2_001.fastq.gz,32.64,-117.083,41-Passerculus,MVZCCGP-Psa143_I-A11_S6,41-Passerculus
MVZCCGP-Psa144_II-D07,MVZCCGP-Psa144_II-D07_S39,GCA_022577445.1,MVZCCGP-Psa144_II-D07_S39_R1_001.fastq.gz,MVZCCGP-Psa144_II-D07_S39_R2_001.fastq.gz,33.745,-118.085,41-Passerculus,MVZCCGP-Psa144_II-D07_S39,41-Passerculus
MVZCCGP-Psa145_II-E07,MVZCCGP-Psa145_II-E07_S38,GCA_022577445.1,MVZCCGP-Psa145_II-E07_S38_R1_001.fastq.gz,MVZCCGP-Psa145_II-E07_S38_R2_001.fastq.gz,32.72,-117.16,41-Passerculus,MVZCCGP-Psa145_II-E07_S38,41-Passerculus
MVZCCGP-Psa146_II-F07,MVZCCGP-Psa146_II-F07_S42,GCA_022577445.1,MVZCCGP-Psa146_II-F07_S42_R1_001.fastq.gz,MVZCCGP-Psa146_II-F07_S42_R2_001.fastq.gz,30.423,-115.962,41-Passerculus,MVZCCGP-Psa146_II-F07_S42,41-Passerculus
MVZCCGP-Psa147_II-G07,MVZCCGP-Psa147_II-G07_S37,GCA_022577445.1,MVZCCGP-Psa147_II-G07_S37_R1_001.fastq.gz,MVZCCGP-Psa147_II-G07_S37_R2_001.fastq.gz,30.423,-115.962,41-Passerculus,MVZCCGP-Psa147_II-G07_S37,41-Passerculus
MVZCCGP-Psa148_II-D08,MVZCCGP-Psa148_II-D08_S33,GCA_022577445.1,MVZCCGP-Psa148_II-D08_S33_R1_001.fastq.gz,MVZCCGP-Psa148_II-D08_S33_R2_001.fastq.gz,31.35,-113.61,41-Passerculus,MVZCCGP-Psa148_II-D08_S33,41-Passerculus
MVZCCGP-Psa149_II-A08,MVZCCGP-Psa149_II-A08_S36,GCA_022577445.1,MVZCCGP-Psa149_II-A08_S36_R1_001.fastq.gz,MVZCCGP-Psa149_II-A08_S36_R2_001.fastq.gz,31.35,-113.61,41-Passerculus,MVZCCGP-Psa149_II-A08_S36,41-Passerculus
MVZCCGP-Psa150_II-B08,MVZCCGP-Psa150_II-B08_S35,GCA_022577445.1,MVZCCGP-Psa150_II-B08_S35_R1_001.fastq.gz,MVZCCGP-Psa150_II-B08_S35_R2_001.fastq.gz,31.35,-113.61,41-Passerculus,MVZCCGP-Psa150_II-B08_S35,41-Passerculus
MVZCCGP-Psa151_I-D03,MVZCCGP-Psa151_I-D03_S151,GCA_022577445.1,MVZCCGP-Psa151_I-D03_S151_R1_001.fastq.gz,MVZCCGP-Psa151_I-D03_S151_R2_001.fastq.gz,35.33435,-120.8189167,41-Passerculus,MVZCCGP-Psa151_I-D03_S151,41-Passerculus
