BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo122-II_B02,MVZCCGP_Mfo122-II_B02_3,GCA_026170545.1,MVZCCGP-Mfo122_S113_L004_R1_001.fastq.gz,MVZCCGP-Mfo122_S113_L004_R2_001.fastq.gz,40.558075,-122.238722,41-Melanerpes,MVZCCGP_Mfo122-II_B02_3,41-Melanerpes,
MVZCCGP_Mfo151-II_D05,MVZCCGP_Mfo151-II_D05_1,GCA_026170545.1,MVZCCGP_Mfo151-II_D05_R1.fastq.gz,MVZCCGP_Mfo151-II_D05_R2.fastq.gz,38.832,-120.8569,41-Melanerpes,MVZCCGP_Mfo151-II_D05_1,41-Melanerpes,
MVZCCGP_Mfo151-II_D05,MVZCCGP_Mfo151-II_D05_3,GCA_026170545.1,MVZCCGP-Mfo151_S89_L004_R1_001.fastq.gz,MVZCCGP-Mfo151_S89_L004_R2_001.fastq.gz,38.832,-120.8569,41-Melanerpes,MVZCCGP_Mfo151-II_D05_3,41-Melanerpes,
MVZCCGP_Mfo7-I_D01,MVZCCGP_Mfo7-I_D01_1,GCA_026170545.1,MVZCCGP_Mfo7-I_D01_R1.fastq.gz,MVZCCGP_Mfo7-I_D01_R2.fastq.gz,39.8027751,-122.0133804,41-Melanerpes,MVZCCGP_Mfo7-I_D01_1,41-Melanerpes,
MVZCCGP_Mfo7-I_D01,MVZCCGP_Mfo7-I_D01_3,GCA_026170545.1,MVZCCGP-Mfo7_S125_L004_R1_001.fastq.gz,MVZCCGP-Mfo7_S125_L004_R2_001.fastq.gz,39.8027751,-122.0133804,41-Melanerpes,MVZCCGP_Mfo7-I_D01_3,41-Melanerpes,
MVZCCGP_Mfo37-I_H03,MVZCCGP_Mfo37-I_H03_1,GCA_026170545.1,MVZCCGP_Mfo37-I_H03_R1.fastq.gz,MVZCCGP_Mfo37-I_H03_R2.fastq.gz,34.202293,-118.168895,41-Melanerpes,MVZCCGP_Mfo37-I_H03_1,41-Melanerpes,
MVZCCGP_Mfo37-I_H03,MVZCCGP_Mfo37-I_H03_3,GCA_026170545.1,MVZCCGP-Mfo37_S64_L004_R1_001.fastq.gz,MVZCCGP-Mfo37_S64_L004_R2_001.fastq.gz,34.202293,-118.168895,41-Melanerpes,MVZCCGP_Mfo37-I_H03_3,41-Melanerpes,
MVZCCGP_Mfo39-I_B04,MVZCCGP_Mfo39-I_B04_1,GCA_026170545.1,MVZCCGP_Mfo39-I_B04_R1.fastq.gz,MVZCCGP_Mfo39-I_B04_R2.fastq.gz,34.146052,-118.10749,41-Melanerpes,MVZCCGP_Mfo39-I_B04_1,41-Melanerpes,
MVZCCGP_Mfo39-I_B04,MVZCCGP_Mfo39-I_B04_3,GCA_026170545.1,MVZCCGP-Mfo39_S35_L004_R1_001.fastq.gz,MVZCCGP-Mfo39_S35_L004_R2_001.fastq.gz,34.146052,-118.10749,41-Melanerpes,MVZCCGP_Mfo39-I_B04_3,41-Melanerpes,
MVZCCGP_Mfo68-I_E07,MVZCCGP_Mfo68-I_E07_1,GCA_026170545.1,MVZCCGP_Mfo68-I_E07_R1.fastq.gz,MVZCCGP_Mfo68-I_E07_R2.fastq.gz,36.6153108,-121.9306074,41-Melanerpes,MVZCCGP_Mfo68-I_E07_1,41-Melanerpes,
MVZCCGP_Mfo68-I_E07,MVZCCGP_Mfo68-I_E07_3,GCA_026170545.1,MVZCCGP-Mfo68_S12_L004_R1_001.fastq.gz,MVZCCGP-Mfo68_S12_L004_R2_001.fastq.gz,36.6153108,-121.9306074,41-Melanerpes,MVZCCGP_Mfo68-I_E07_3,41-Melanerpes,
MVZCCGP_Mfo70-I_G07,MVZCCGP_Mfo70-I_G07_1,GCA_026170545.1,MVZCCGP_Mfo70-I_G07_R1.fastq.gz,MVZCCGP_Mfo70-I_G07_R2.fastq.gz,36.391327,-121.59536,41-Melanerpes,MVZCCGP_Mfo70-I_G07_1,41-Melanerpes,
MVZCCGP_Mfo70-I_G07,MVZCCGP_Mfo70-I_G07_3,GCA_026170545.1,MVZCCGP-Mfo70_S10_L004_R1_001.fastq.gz,MVZCCGP-Mfo70_S10_L004_R2_001.fastq.gz,36.391327,-121.59536,41-Melanerpes,MVZCCGP_Mfo70-I_G07_3,41-Melanerpes,
MVZCCGP_Mfo77-I_F08,MVZCCGP_Mfo77-I_F08_1,GCA_026170545.1,MVZCCGP_Mfo77-I_F08_R1.fastq.gz,MVZCCGP_Mfo77-I_F08_R2.fastq.gz,33.824082,-116.757408,41-Melanerpes,MVZCCGP_Mfo77-I_F08_1,41-Melanerpes,
MVZCCGP_Mfo77-I_F08,MVZCCGP_Mfo77-I_F08_3,GCA_026170545.1,MVZCCGP-Mfo77_S4_L004_R1_001.fastq.gz,MVZCCGP-Mfo77_S4_L004_R2_001.fastq.gz,33.824082,-116.757408,41-Melanerpes,MVZCCGP_Mfo77-I_F08_3,41-Melanerpes,
MVZCCGP_Mfo134-II_E03,MVZCCGP_Mfo134-II_E03_1,GCA_026170545.1,MVZCCGP_Mfo134-II_E03_R1.fastq.gz,MVZCCGP_Mfo134-II_E03_R2.fastq.gz,38.33324167,-122.5796972,41-Melanerpes,MVZCCGP_Mfo134-II_E03_1,41-Melanerpes,
MVZCCGP_Mfo134-II_E03,MVZCCGP_Mfo134-II_E03_3,GCA_026170545.1,MVZCCGP-Mfo134_S104_L004_R1_001.fastq.gz,MVZCCGP-Mfo134_S104_L004_R2_001.fastq.gz,38.33324167,-122.5796972,41-Melanerpes,MVZCCGP_Mfo134-II_E03_3,41-Melanerpes,
MVZCCGP_Mfo140-II_C04,MVZCCGP_Mfo140-II_C04_1,GCA_026170545.1,MVZCCGP_Mfo140-II_C04_R1.fastq.gz,MVZCCGP_Mfo140-II_C04_R2.fastq.gz,40.29568,-122.177035,41-Melanerpes,MVZCCGP_Mfo140-II_C04_1,41-Melanerpes,
MVZCCGP_Mfo158-II_C06,MVZCCGP_Mfo158-II_C06_1,GCA_026170545.1,MVZCCGP_Mfo158-II_C06_R1.fastq.gz,MVZCCGP_Mfo158-II_C06_R2.fastq.gz,36.36119,-120.85934,41-Melanerpes,MVZCCGP_Mfo158-II_C06_1,41-Melanerpes,
MVZCCGP_Mfo6-I_C01,MVZCCGP_Mfo6-I_C01_1,GCA_026170545.1,MVZCCGP_Mfo6-I_C01_R1.fastq.gz,MVZCCGP_Mfo6-I_C01_R2.fastq.gz,40.456565,-121.86577,41-Melanerpes,MVZCCGP_Mfo6-I_C01_1,41-Melanerpes,
MVZCCGP_Mfo6-I_C01,MVZCCGP_Mfo6-I_C01_3,GCA_026170545.1,MVZCCGP-Mfo6_S126_L004_R1_001.fastq.gz,MVZCCGP-Mfo6_S126_L004_R2_001.fastq.gz,40.456565,-121.86577,41-Melanerpes,MVZCCGP_Mfo6-I_C01_3,41-Melanerpes,
MVZCCGP_Mfo21-I_F02,MVZCCGP_Mfo21-I_F02_1,GCA_026170545.1,MVZCCGP_Mfo21-I_F02_R1.fastq.gz,MVZCCGP_Mfo21-I_F02_R2.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo21-I_F02_1,41-Melanerpes,
MVZCCGP_Mfo21-I_F02,MVZCCGP_Mfo21-I_F02_3,GCA_026170545.1,MVZCCGP-Mfo21_S101_L004_R1_001.fastq.gz,MVZCCGP-Mfo21_S101_L004_R2_001.fastq.gz,36.768431,-119.033885,41-Melanerpes,MVZCCGP_Mfo21-I_F02_3,41-Melanerpes,
MVZCCGP_Mfo27-I_B03,MVZCCGP_Mfo27-I_B03_1,GCA_026170545.1,MVZCCGP_Mfo27-I_B03_R1.fastq.gz,MVZCCGP_Mfo27-I_B03_R2.fastq.gz,34.845525,-118.832156,41-Melanerpes,MVZCCGP_Mfo27-I_B03_1,41-Melanerpes,
MVZCCGP_Mfo27-I_B03,MVZCCGP_Mfo27-I_B03_3,GCA_026170545.1,MVZCCGP-Mfo27_S70_L004_R1_001.fastq.gz,MVZCCGP-Mfo27_S70_L004_R2_001.fastq.gz,34.845525,-118.832156,41-Melanerpes,MVZCCGP_Mfo27-I_B03_3,41-Melanerpes,
