BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
BOA07,BOA07_S23_L003,GCA_022045235.1,Haliotis cracherodii,BOA07_S23_L003_R1_001.fastq.gz,BOA07_S23_L003_R2_001.fastq.gz,34.55666497,-120.606525,BOA07_S23_L003,x
BOA07,BOA07_S23_L001,GCA_022045235.1,Haliotis cracherodii,BOA07_S23_L001_R1_001.fastq.gz,BOA07_S23_L001_R2_001.fastq.gz,34.55666497,-120.606525,BOA07_S23_L001,x
BOA07,BOA07_S23_L004,GCA_022045235.1,Haliotis cracherodii,BOA07_S23_L004_R1_001.fastq.gz,BOA07_S23_L004_R2_001.fastq.gz,34.55666497,-120.606525,BOA07_S23_L004,x
CHI02,CHI02_S24_L003,GCA_022045235.1,Haliotis cracherodii,CHI02_S24_L003_R1_001.fastq.gz,CHI02_S24_L003_R2_001.fastq.gz,36.60665201,-121.95936,CHI02_S24_L003,x
CHI02,CHI02_S24_L001,GCA_022045235.1,Haliotis cracherodii,CHI02_S24_L001_R1_001.fastq.gz,CHI02_S24_L001_R2_001.fastq.gz,36.60665201,-121.95936,CHI02_S24_L001,x
CHI02,CHI02_S24_L002,GCA_022045235.1,Haliotis cracherodii,CHI02_S24_L002_R1_001.fastq.gz,CHI02_S24_L002_R2_001.fastq.gz,36.60665201,-121.95936,CHI02_S24_L002,x
CHI02,CHI02_S24_L004,GCA_022045235.1,Haliotis cracherodii,CHI02_S24_L004_R1_001.fastq.gz,CHI02_S24_L004_R2_001.fastq.gz,36.60665201,-121.95936,CHI02_S24_L004,x
CHI03,CHI03_S25_L001,GCA_022045235.1,Haliotis cracherodii,CHI03_S25_L001_R1_001.fastq.gz,CHI03_S25_L001_R2_001.fastq.gz,36.60665201,-121.95936,CHI03_S25_L001,x
CHI03,CHI03_S25_L002,GCA_022045235.1,Haliotis cracherodii,CHI03_S25_L002_R1_001.fastq.gz,CHI03_S25_L002_R2_001.fastq.gz,36.60665201,-121.95936,CHI03_S25_L002,x
CHI03,CHI03_S25_L003,GCA_022045235.1,Haliotis cracherodii,CHI03_S25_L003_R1_001.fastq.gz,CHI03_S25_L003_R2_001.fastq.gz,36.60665201,-121.95936,CHI03_S25_L003,x
CHI03,CHI03_S25_L004,GCA_022045235.1,Haliotis cracherodii,CHI03_S25_L004_R1_001.fastq.gz,CHI03_S25_L004_R2_001.fastq.gz,36.60665201,-121.95936,CHI03_S25_L004,x
CHI07,CHI07_S26_L004,GCA_022045235.1,Haliotis cracherodii,CHI07_S26_L004_R1_001.fastq.gz,CHI07_S26_L004_R2_001.fastq.gz,36.60674999,-121.959414,CHI07_S26_L004,x
CHI07,CHI07_S26_L003,GCA_022045235.1,Haliotis cracherodii,CHI07_S26_L003_R1_001.fastq.gz,CHI07_S26_L003_R2_001.fastq.gz,36.60674999,-121.959414,CHI07_S26_L003,x
CHI07,CHI07_S26_L001,GCA_022045235.1,Haliotis cracherodii,CHI07_S26_L001_R1_001.fastq.gz,CHI07_S26_L001_R2_001.fastq.gz,36.60674999,-121.959414,CHI07_S26_L001,x
