BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeI_A03,MVZCCGP-AbeI_A03_S3_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A03_S3_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A03_S3_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A03_S3_L001,PRJNA778814
MVZCCGP-AbeI_A03,MVZCCGP-AbeI_A03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A03_R1.fastq.gz,MVZCCGP-AbeI_A03_R2.fastq.gz,MVZCCGP-AbeI_A03,PRJNA778814
MVZCCGP-AbeI_B03,MVZCCGP-AbeI_B03_S15_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B03_S15_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B03_S15_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B03_S15_L001,PRJNA778814
MVZCCGP-AbeI_B03,MVZCCGP-AbeI_B03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B03_R1.fastq.gz,MVZCCGP-AbeI_B03_R2.fastq.gz,MVZCCGP-AbeI_B03,PRJNA778814
MVZCCGP-AbeI_C03,MVZCCGP-AbeI_C03_S27_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C03_S27_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C03_S27_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C03_S27_L001,PRJNA778814
MVZCCGP-AbeI_C03,MVZCCGP-AbeI_C03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C03_R1.fastq.gz,MVZCCGP-AbeI_C03_R2.fastq.gz,MVZCCGP-AbeI_C03,PRJNA778814
MVZCCGP-AbeI_D03,MVZCCGP-AbeI_D03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D03_R1.fastq.gz,MVZCCGP-AbeI_D03_R2.fastq.gz,MVZCCGP-AbeI_D03,PRJNA778814
MVZCCGP-AbeI_D03,MVZCCGP-AbeI_D03_S39_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D03_S39_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D03_S39_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D03_S39_L001,PRJNA778814
MVZCCGP-AbeI_E03,MVZCCGP-AbeI_E03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E03_R1.fastq.gz,MVZCCGP-AbeI_E03_R2.fastq.gz,MVZCCGP-AbeI_E03,PRJNA778814
MVZCCGP-AbeI_E03,MVZCCGP-AbeI_E03_S51_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E03_S51_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E03_S51_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E03_S51_L001,PRJNA778814
MVZCCGP-AbeI_F03,MVZCCGP-AbeI_F03_S63_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F03_S63_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F03_S63_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F03_S63_L001,PRJNA778814
MVZCCGP-AbeI_F03,MVZCCGP-AbeI_F03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F03_R1.fastq.gz,MVZCCGP-AbeI_F03_R2.fastq.gz,MVZCCGP-AbeI_F03,PRJNA778814
MVZCCGP-AbeI_G03,MVZCCGP-AbeI_G03_S75_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G03_S75_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G03_S75_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G03_S75_L001,PRJNA778814
MVZCCGP-AbeI_G03,MVZCCGP-AbeI_G03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G03_R1.fastq.gz,MVZCCGP-AbeI_G03_R2.fastq.gz,MVZCCGP-AbeI_G03,PRJNA778814
MVZCCGP-AbeI_H03,MVZCCGP-AbeI_H03_S87_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H03_S87_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H03_S87_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H03_S87_L001,PRJNA778814
MVZCCGP-AbeI_H03,MVZCCGP-AbeI_H03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H03_R1.fastq.gz,MVZCCGP-AbeI_H03_R2.fastq.gz,MVZCCGP-AbeI_H03,PRJNA778814
MVZCCGP-AbeI_A04,MVZCCGP-AbeI_A04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A04_R1.fastq.gz,MVZCCGP-AbeI_A04_R2.fastq.gz,MVZCCGP-AbeI_A04,PRJNA778814
MVZCCGP-AbeI_A04,MVZCCGP-AbeI_A04_S4_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A04_S4_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A04_S4_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A04_S4_L001,PRJNA778814
MVZCCGP-AbeI_B04,MVZCCGP-AbeI_B04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B04_R1.fastq.gz,MVZCCGP-AbeI_B04_R2.fastq.gz,MVZCCGP-AbeI_B04,PRJNA778814
MVZCCGP-AbeI_B04,MVZCCGP-AbeI_B04_S16_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B04_S16_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B04_S16_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B04_S16_L001,PRJNA778814
MVZCCGP-AbeI_C04,MVZCCGP-AbeI_C04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C04_R1.fastq.gz,MVZCCGP-AbeI_C04_R2.fastq.gz,MVZCCGP-AbeI_C04,PRJNA778814
MVZCCGP-AbeI_C04,MVZCCGP-AbeI_C04_S28_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C04_S28_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C04_S28_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C04_S28_L001,PRJNA778814
MVZCCGP-AbeI_D04,MVZCCGP-AbeI_D04_S40_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D04_S40_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D04_S40_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D04_S40_L001,PRJNA778814
MVZCCGP-AbeI_D04,MVZCCGP-AbeI_D04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D04_R1.fastq.gz,MVZCCGP-AbeI_D04_R2.fastq.gz,MVZCCGP-AbeI_D04,PRJNA778814
MVZCCGP-AbeI_E04,MVZCCGP-AbeI_E04_S52_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E04_S52_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E04_S52_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E04_S52_L001,PRJNA778814
MVZCCGP-AbeI_E04,MVZCCGP-AbeI_E04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E04_R1.fastq.gz,MVZCCGP-AbeI_E04_R2.fastq.gz,MVZCCGP-AbeI_E04,PRJNA778814
MVZCCGP-AbeI_F04,MVZCCGP-AbeI_F04_S64_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F04_S64_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F04_S64_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F04_S64_L001,PRJNA778814
MVZCCGP-AbeI_F04,MVZCCGP-AbeI_F04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F04_R1.fastq.gz,MVZCCGP-AbeI_F04_R2.fastq.gz,MVZCCGP-AbeI_F04,PRJNA778814
MVZCCGP-AbeI_G04,MVZCCGP-AbeI_G04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G04_R1.fastq.gz,MVZCCGP-AbeI_G04_R2.fastq.gz,MVZCCGP-AbeI_G04,PRJNA778814
MVZCCGP-AbeI_G04,MVZCCGP-AbeI_G04_S76_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G04_S76_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G04_S76_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G04_S76_L001,PRJNA778814
MVZCCGP-AbeI_H04,MVZCCGP-AbeI_H04_S88_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H04_S88_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H04_S88_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H04_S88_L001,PRJNA778814
MVZCCGP-AbeI_H04,MVZCCGP-AbeI_H04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H04_R1.fastq.gz,MVZCCGP-AbeI_H04_R2.fastq.gz,MVZCCGP-AbeI_H04,PRJNA778814
MVZCCGP-AbeI_A05,MVZCCGP-AbeI_A05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A05_R1.fastq.gz,MVZCCGP-AbeI_A05_R2.fastq.gz,MVZCCGP-AbeI_A05,PRJNA778814
MVZCCGP-AbeI_A05,MVZCCGP-AbeI_A05_S5_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A05_S5_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A05_S5_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A05_S5_L001,PRJNA778814
MVZCCGP-AbeI_B05,MVZCCGP-AbeI_B05_S17_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B05_S17_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B05_S17_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B05_S17_L001,PRJNA778814
MVZCCGP-AbeI_B05,MVZCCGP-AbeI_B05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B05_R1.fastq.gz,MVZCCGP-AbeI_B05_R2.fastq.gz,MVZCCGP-AbeI_B05,PRJNA778814
MVZCCGP-AbeI_C05,MVZCCGP-AbeI_C05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C05_R1.fastq.gz,MVZCCGP-AbeI_C05_R2.fastq.gz,MVZCCGP-AbeI_C05,PRJNA778814
MVZCCGP-AbeI_C05,MVZCCGP-AbeI_C05_S29_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C05_S29_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C05_S29_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C05_S29_L001,PRJNA778814
MVZCCGP-AbeI_D05,MVZCCGP-AbeI_D05_S41_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D05_S41_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D05_S41_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D05_S41_L001,PRJNA778814
MVZCCGP-AbeI_D05,MVZCCGP-AbeI_D05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D05_R1.fastq.gz,MVZCCGP-AbeI_D05_R2.fastq.gz,MVZCCGP-AbeI_D05,PRJNA778814
MVZCCGP-AbeI_E05,MVZCCGP-AbeI_E05_S53_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E05_S53_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E05_S53_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E05_S53_L001,PRJNA778814
MVZCCGP-AbeI_E05,MVZCCGP-AbeI_E05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E05_R1.fastq.gz,MVZCCGP-AbeI_E05_R2.fastq.gz,MVZCCGP-AbeI_E05,PRJNA778814
MVZCCGP-AbeI_F05,MVZCCGP-AbeI_F05_S65_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F05_S65_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F05_S65_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F05_S65_L001,PRJNA778814
MVZCCGP-AbeI_F05,MVZCCGP-AbeI_F05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F05_R1.fastq.gz,MVZCCGP-AbeI_F05_R2.fastq.gz,MVZCCGP-AbeI_F05,PRJNA778814
MVZCCGP-AbeI_G05,MVZCCGP-AbeI_G05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G05_R1.fastq.gz,MVZCCGP-AbeI_G05_R2.fastq.gz,MVZCCGP-AbeI_G05,PRJNA778814
MVZCCGP-AbeI_G05,MVZCCGP-AbeI_G05_S77_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G05_S77_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G05_S77_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G05_S77_L001,PRJNA778814
MVZCCGP-AbeI_H05,MVZCCGP-AbeI_H05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H05_R1.fastq.gz,MVZCCGP-AbeI_H05_R2.fastq.gz,MVZCCGP-AbeI_H05,PRJNA778814
MVZCCGP-AbeI_H05,MVZCCGP-AbeI_H05_S89_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_H05_S89_L001_R1_001.fastq.gz,MVZCCGP-AbeI_H05_S89_L001_R2_001.fastq.gz,MVZCCGP-AbeI_H05_S89_L001,PRJNA778814
MVZCCGP-AbeI_A06,MVZCCGP-AbeI_A06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A06_R1.fastq.gz,MVZCCGP-AbeI_A06_R2.fastq.gz,MVZCCGP-AbeI_A06,PRJNA778814
MVZCCGP-AbeI_A06,MVZCCGP-AbeI_A06_S6_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_A06_S6_L001_R1_001.fastq.gz,MVZCCGP-AbeI_A06_S6_L001_R2_001.fastq.gz,MVZCCGP-AbeI_A06_S6_L001,PRJNA778814
MVZCCGP-AbeI_B06,MVZCCGP-AbeI_B06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B06_R1.fastq.gz,MVZCCGP-AbeI_B06_R2.fastq.gz,MVZCCGP-AbeI_B06,PRJNA778814
MVZCCGP-AbeI_B06,MVZCCGP-AbeI_B06_S18_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_B06_S18_L001_R1_001.fastq.gz,MVZCCGP-AbeI_B06_S18_L001_R2_001.fastq.gz,MVZCCGP-AbeI_B06_S18_L001,PRJNA778814
