BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeII_B01,MVZCCGP-AbeII_B01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B01_R1.fastq.gz,MVZCCGP-AbeII_B01_R2.fastq.gz,MVZCCGP-AbeII_B01,PRJNA778814
MVZCCGP-AbeII_C01,MVZCCGP-AbeII_C01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C01_R1.fastq.gz,MVZCCGP-AbeII_C01_R2.fastq.gz,MVZCCGP-AbeII_C01,PRJNA778814
MVZCCGP-AbeII_D01,MVZCCGP-AbeII_D01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D01_R1.fastq.gz,MVZCCGP-AbeII_D01_R2.fastq.gz,MVZCCGP-AbeII_D01,PRJNA778814
MVZCCGP-AbeII_E01,MVZCCGP-AbeII_E01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E01_R1.fastq.gz,MVZCCGP-AbeII_E01_R2.fastq.gz,MVZCCGP-AbeII_E01,PRJNA778814
MVZCCGP-AbeII_F01,MVZCCGP-AbeII_F01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F01_R1.fastq.gz,MVZCCGP-AbeII_F01_R2.fastq.gz,MVZCCGP-AbeII_F01,PRJNA778814
MVZCCGP-AbeII_G01,MVZCCGP-AbeII_G01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G01_R1.fastq.gz,MVZCCGP-AbeII_G01_R2.fastq.gz,MVZCCGP-AbeII_G01,PRJNA778814
MVZCCGP-AbeII_H01,MVZCCGP-AbeII_H01,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H01_R1.fastq.gz,MVZCCGP-AbeII_H01_R2.fastq.gz,MVZCCGP-AbeII_H01,PRJNA778814
MVZCCGP-AbeII_A02,MVZCCGP-AbeII_A02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A02_R1.fastq.gz,MVZCCGP-AbeII_A02_R2.fastq.gz,MVZCCGP-AbeII_A02,PRJNA778814
MVZCCGP-AbeII_B02,MVZCCGP-AbeII_B02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B02_R1.fastq.gz,MVZCCGP-AbeII_B02_R2.fastq.gz,MVZCCGP-AbeII_B02,PRJNA778814
MVZCCGP-AbeII_C02,MVZCCGP-AbeII_C02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C02_R1.fastq.gz,MVZCCGP-AbeII_C02_R2.fastq.gz,MVZCCGP-AbeII_C02,PRJNA778814
MVZCCGP-AbeII_D02,MVZCCGP-AbeII_D02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D02_R1.fastq.gz,MVZCCGP-AbeII_D02_R2.fastq.gz,MVZCCGP-AbeII_D02,PRJNA778814
MVZCCGP-AbeII_E02,MVZCCGP-AbeII_E02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E02_R1.fastq.gz,MVZCCGP-AbeII_E02_R2.fastq.gz,MVZCCGP-AbeII_E02,PRJNA778814
MVZCCGP-AbeII_F02,MVZCCGP-AbeII_F02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F02_R1.fastq.gz,MVZCCGP-AbeII_F02_R2.fastq.gz,MVZCCGP-AbeII_F02,PRJNA778814
MVZCCGP-AbeII_G02,MVZCCGP-AbeII_G02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G02_R1.fastq.gz,MVZCCGP-AbeII_G02_R2.fastq.gz,MVZCCGP-AbeII_G02,PRJNA778814
MVZCCGP-AbeII_H02,MVZCCGP-AbeII_H02,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H02_R1.fastq.gz,MVZCCGP-AbeII_H02_R2.fastq.gz,MVZCCGP-AbeII_H02,PRJNA778814
MVZCCGP-AbeII_A03,MVZCCGP-AbeII_A03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A03_R1.fastq.gz,MVZCCGP-AbeII_A03_R2.fastq.gz,MVZCCGP-AbeII_A03,PRJNA778814
MVZCCGP-AbeII_B03,MVZCCGP-AbeII_B03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B03_R1.fastq.gz,MVZCCGP-AbeII_B03_R2.fastq.gz,MVZCCGP-AbeII_B03,PRJNA778814
MVZCCGP-AbeII_C03,MVZCCGP-AbeII_C03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C03_R1.fastq.gz,MVZCCGP-AbeII_C03_R2.fastq.gz,MVZCCGP-AbeII_C03,PRJNA778814
MVZCCGP-AbeII_D03,MVZCCGP-AbeII_D03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D03_R1.fastq.gz,MVZCCGP-AbeII_D03_R2.fastq.gz,MVZCCGP-AbeII_D03,PRJNA778814
MVZCCGP-AbeII_E03,MVZCCGP-AbeII_E03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E03_R1.fastq.gz,MVZCCGP-AbeII_E03_R2.fastq.gz,MVZCCGP-AbeII_E03,PRJNA778814
MVZCCGP-AbeII_F03,MVZCCGP-AbeII_F03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F03_R1.fastq.gz,MVZCCGP-AbeII_F03_R2.fastq.gz,MVZCCGP-AbeII_F03,PRJNA778814
MVZCCGP-AbeII_G03,MVZCCGP-AbeII_G03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G03_R1.fastq.gz,MVZCCGP-AbeII_G03_R2.fastq.gz,MVZCCGP-AbeII_G03,PRJNA778814
MVZCCGP-AbeII_H03,MVZCCGP-AbeII_H03,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H03_R1.fastq.gz,MVZCCGP-AbeII_H03_R2.fastq.gz,MVZCCGP-AbeII_H03,PRJNA778814
MVZCCGP-AbeII_A04,MVZCCGP-AbeII_A04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A04_R1.fastq.gz,MVZCCGP-AbeII_A04_R2.fastq.gz,MVZCCGP-AbeII_A04,PRJNA778814
MVZCCGP-AbeII_B04,MVZCCGP-AbeII_B04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B04_R1.fastq.gz,MVZCCGP-AbeII_B04_R2.fastq.gz,MVZCCGP-AbeII_B04,PRJNA778814
MVZCCGP-AbeII_C04,MVZCCGP-AbeII_C04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C04_R1.fastq.gz,MVZCCGP-AbeII_C04_R2.fastq.gz,MVZCCGP-AbeII_C04,PRJNA778814
MVZCCGP-AbeII_D04,MVZCCGP-AbeII_D04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D04_R1.fastq.gz,MVZCCGP-AbeII_D04_R2.fastq.gz,MVZCCGP-AbeII_D04,PRJNA778814
MVZCCGP-AbeII_E04,MVZCCGP-AbeII_E04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E04_R1.fastq.gz,MVZCCGP-AbeII_E04_R2.fastq.gz,MVZCCGP-AbeII_E04,PRJNA778814
MVZCCGP-AbeII_F04,MVZCCGP-AbeII_F04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F04_R1.fastq.gz,MVZCCGP-AbeII_F04_R2.fastq.gz,MVZCCGP-AbeII_F04,PRJNA778814
MVZCCGP-AbeII_G04,MVZCCGP-AbeII_G04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G04_R1.fastq.gz,MVZCCGP-AbeII_G04_R2.fastq.gz,MVZCCGP-AbeII_G04,PRJNA778814
MVZCCGP-AbeII_H04,MVZCCGP-AbeII_H04,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H04_R1.fastq.gz,MVZCCGP-AbeII_H04_R2.fastq.gz,MVZCCGP-AbeII_H04,PRJNA778814
MVZCCGP-AbeII_A05,MVZCCGP-AbeII_A05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A05_R1.fastq.gz,MVZCCGP-AbeII_A05_R2.fastq.gz,MVZCCGP-AbeII_A05,PRJNA778814
MVZCCGP-AbeII_B05,MVZCCGP-AbeII_B05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B05_R1.fastq.gz,MVZCCGP-AbeII_B05_R2.fastq.gz,MVZCCGP-AbeII_B05,PRJNA778814
MVZCCGP-AbeII_C05,MVZCCGP-AbeII_C05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C05_R1.fastq.gz,MVZCCGP-AbeII_C05_R2.fastq.gz,MVZCCGP-AbeII_C05,PRJNA778814
MVZCCGP-AbeII_D05,MVZCCGP-AbeII_D05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D05_R1.fastq.gz,MVZCCGP-AbeII_D05_R2.fastq.gz,MVZCCGP-AbeII_D05,PRJNA778814
MVZCCGP-AbeII_E05,MVZCCGP-AbeII_E05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E05_R1.fastq.gz,MVZCCGP-AbeII_E05_R2.fastq.gz,MVZCCGP-AbeII_E05,PRJNA778814
MVZCCGP-AbeII_F05,MVZCCGP-AbeII_F05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F05_R1.fastq.gz,MVZCCGP-AbeII_F05_R2.fastq.gz,MVZCCGP-AbeII_F05,PRJNA778814
MVZCCGP-AbeII_G05,MVZCCGP-AbeII_G05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G05_R1.fastq.gz,MVZCCGP-AbeII_G05_R2.fastq.gz,MVZCCGP-AbeII_G05,PRJNA778814
MVZCCGP-AbeII_H05,MVZCCGP-AbeII_H05,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H05_R1.fastq.gz,MVZCCGP-AbeII_H05_R2.fastq.gz,MVZCCGP-AbeII_H05,PRJNA778814
MVZCCGP-AbeII_A06,MVZCCGP-AbeII_A06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A06_R1.fastq.gz,MVZCCGP-AbeII_A06_R2.fastq.gz,MVZCCGP-AbeII_A06,PRJNA778814
MVZCCGP-AbeII_B06,MVZCCGP-AbeII_B06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B06_R1.fastq.gz,MVZCCGP-AbeII_B06_R2.fastq.gz,MVZCCGP-AbeII_B06,PRJNA778814
MVZCCGP-AbeII_C06,MVZCCGP-AbeII_C06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C06_R1.fastq.gz,MVZCCGP-AbeII_C06_R2.fastq.gz,MVZCCGP-AbeII_C06,PRJNA778814
MVZCCGP-AbeII_D06,MVZCCGP-AbeII_D06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D06_R1.fastq.gz,MVZCCGP-AbeII_D06_R2.fastq.gz,MVZCCGP-AbeII_D06,PRJNA778814
MVZCCGP-AbeII_E06,MVZCCGP-AbeII_E06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E06_R1.fastq.gz,MVZCCGP-AbeII_E06_R2.fastq.gz,MVZCCGP-AbeII_E06,PRJNA778814
MVZCCGP-AbeII_F06,MVZCCGP-AbeII_F06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F06_R1.fastq.gz,MVZCCGP-AbeII_F06_R2.fastq.gz,MVZCCGP-AbeII_F06,PRJNA778814
MVZCCGP-AbeII_G06,MVZCCGP-AbeII_G06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_G06_R1.fastq.gz,MVZCCGP-AbeII_G06_R2.fastq.gz,MVZCCGP-AbeII_G06,PRJNA778814
MVZCCGP-AbeII_H06,MVZCCGP-AbeII_H06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_H06_R1.fastq.gz,MVZCCGP-AbeII_H06_R2.fastq.gz,MVZCCGP-AbeII_H06,PRJNA778814
MVZCCGP-AbeII_A07,MVZCCGP-AbeII_A07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_A07_R1.fastq.gz,MVZCCGP-AbeII_A07_R2.fastq.gz,MVZCCGP-AbeII_A07,PRJNA778814
MVZCCGP-AbeII_B07,MVZCCGP-AbeII_B07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_B07_R1.fastq.gz,MVZCCGP-AbeII_B07_R2.fastq.gz,MVZCCGP-AbeII_B07,PRJNA778814
MVZCCGP-AbeII_C07,MVZCCGP-AbeII_C07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_C07_R1.fastq.gz,MVZCCGP-AbeII_C07_R2.fastq.gz,MVZCCGP-AbeII_C07,PRJNA778814
MVZCCGP-AbeII_D07,MVZCCGP-AbeII_D07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_D07_R1.fastq.gz,MVZCCGP-AbeII_D07_R2.fastq.gz,MVZCCGP-AbeII_D07,PRJNA778814
MVZCCGP-AbeII_E07,MVZCCGP-AbeII_E07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_E07_R1.fastq.gz,MVZCCGP-AbeII_E07_R2.fastq.gz,MVZCCGP-AbeII_E07,PRJNA778814
MVZCCGP-AbeII_F07,MVZCCGP-AbeII_F07,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeII_F07_R1.fastq.gz,MVZCCGP-AbeII_F07_R2.fastq.gz,MVZCCGP-AbeII_F07,PRJNA778814
