
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connection.py:208 HTTPSConnection.putrequest  9817        0.094266  1.717828  0.000175
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:206 _read_headers                                    9817        0.977124  1.705485  0.000174
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/structures.py:82 CaseInsensitiveDict.copy    19634       0.136407  1.666457  0.000085
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/socket.py:691 SocketIO.readinto                                     10119       0.126318  1.662743  0.000164
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/posixpath.py:228 expanduser                                         20935       0.491190  1.648833  0.000079
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/message.py:497 HTTPMessage.get_all                            39268       0.977450  1.600170  0.000041
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1082 HTTPSConnection.putrequest                      9817        0.429081  1.598297  0.000163
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/abc.py:117 __instancecheck__                                        278958      0.962232  1.589553  0.000006
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/_collections.py:231 HTTPHeaderDict.extend     9817        0.390639  1.581052  0.000161
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:186 lazy_property.__get__  43489/36..  0.318796  1.545108  0.000036
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:1600 Logger._log                                3777        0.035596  1.527763  0.000404
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/ssl.py:1262 SSLSocket.recv_into                                     10119       0.118296  1.459604  0.000144
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:681 _IOFile.apply_wildcards           7997        0.076958  1.429605  0.000179
<frozen importlib._bootstrap>:1053 _handle_fromlist                                                                       2349/1654   0.018300  1.420432  0.000605
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:118 ExistsDict.__contains__           15243       0.103904  1.405703  0.000092
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:184 FeedParser.close                            9817        0.120815  1.389393  0.000142
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/poolmanager.py:224 PoolManager.connection_from_host  9817        0.130078  1.362250  0.000139
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:260 _IOFile.wrapper                   16784/16..  0.245909  1.339439  0.000080
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:303 <listcomp>                    58914       0.829640  1.337876  0.000023
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/packages/six.py:1015 ensure_text              176692      0.847425  1.323099  0.000007
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/ssl.py:1120 SSLSocket.read                                          10119       0.126924  1.311417  0.000130
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1266 HTTPSConnection.endheaders                      9817        0.060003  1.300357  0.000132
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:128 BufferedSubFile.__next__                    135626      0.569301  1.292121  0.000010
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/logging.py:387 Logger.job_info              605         0.002620  1.274332  0.002106
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:244 _remove_path_dot_segments     29451       0.749327  1.248840  0.000042
..buntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/structures.py:53 CaseInsensitiveDict.__getitem__  235606      0.915780  1.247886  0.000005
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:1028 HTTPSConnection._send_output                    9817        0.106170  1.240354  0.000126
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:223 <lambda>                      147092      0.785160  1.229521  0.000008
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/dag.py:2215 DAG.stats                       8           0.025230  1.186032  0.148254
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/url.py:413 ensure_type                   176706      0.448893  1.154566  0.000007
../miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/poolmanager.py:247 PoolManager.connection_from_context  9817        0.127501  1.140226  0.000116
..e/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/_collections.py:156 HTTPHeaderDict.__getitem__  135624      0.778053  1.109654  0.000008
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:287 Job.threads                     3629        0.012911  1.103623  0.000304
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:336 Job.resources                   6047        0.013337  1.095099  0.000181
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/http/client.py:967 HTTPSConnection.send                             9819        0.111922  1.090595  0.000111
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/parser.py:1216 parse                        7           0.169477  1.085242  0.155035
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:1057 Rule.expand_resources         605         0.015054  1.080965  0.001787
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/importlib/__init__.py:108 import_module                             12/11       0.000081  1.073665  0.089472
<frozen importlib._bootstrap>:1038 _gcd_import                                                                            13/11       0.000077  1.073578  0.082583
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:1467 Logger.info                                2420        0.019511  1.046061  0.000432
