
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/executors/__init__.py:159 DryrunExecutor.printjob  17          0.000288  0.135866  0.007992
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/cookies.py:118 extract_cookies_to_jar        514         0.007906  0.135625  0.000264
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/executors/__init__.py:145 DryrunExecutor.printjob  17          0.000121  0.135354  0.007962
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/jobs.py:970 Job.log_info                    17          0.007430  0.135233  0.007955
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connection.py:221 HTTPSConnection.putheader   1799        0.016776  0.133641  0.000074
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:818 quote                                           1595        0.015518  0.132700  0.000083
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/resources.py:49 callable                    27          0.000216  0.132187  0.004896
<string>:1 <module>                                                                                                       179         0.000580  0.131426  0.000734
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:1575 InputFiles.size_mb               3           0.000018  0.130482  0.043494
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:1571 InputFiles.size                  3           0.000017  0.130464  0.043488
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/io.py:1573 <genexpr>                        3           0.000011  0.130434  0.043478
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/remote/GS.py:229 RemoteObject.size          1           0.000025  0.130239  0.130239
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/yaml/scanner.py:113 OrderedLoader.check_token         1757        0.011126  0.128673  0.000073
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/email/feedparser.py:471 FeedParser._parse_headers                   257         0.042086  0.127179  0.000495
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/util/_decorators.py:1 <module>                 1           0.000071  0.122786  0.122786
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/pandas/_libs/__init__.py:1 <module>                   1           0.000037  0.120927  0.120927
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/exceptions.py:1 <module>                     1           0.000089  0.120221  0.120221
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/google/cloud/_http/__init__.py:227 Connection.build_api_url  255         0.007057  0.118623  0.000465
